Movie Title,Release Date,Wikipedia URL,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue
10 Cloverfield Lane,2016-03-08,https://en.wikipedia.org/wiki/10_Cloverfield_Lane,Thriller,Dan Trachtenberg,,Mary Elizabeth Winstead,John Goodman,John Gallagher,,,"$15,000,000.00","$108,300,000.00"
13 Hours: The Secret Soldiers of Benghazi,2016-01-15,https://en.wikipedia.org/wiki/13_Hours:_The_Secret_Soldiers_of_Benghazi,Action,Michael Bay,,James Badge Dale,John Krasinski,Toby Stephens,Pablo Schreiber,Max Martini,"$45,000,000.00","$69,400,000.00"
2 Guns,2013-08-02,https://en.wikipedia.org/wiki/2_Guns,Action,Baltasar Kormákur,,Mark Wahlberg,Denzel Washington,Paula Patton,Bill Paxton,Edward James Olmos,"$61,000,000.00","$131,900,000.00"
21 Jump Street,2012-03-16,https://en.wikipedia.org/wiki/21_Jump_Street_(film),Comedy,Phil Lord,Chris Miller,Jonah Hill,Channing Tatum,Ice Cube,Brie Larson,Rob Riggle,"$55,000,000.00","$201,500,000.00"
22 Jump Street,2014-06-04,https://en.wikipedia.org/wiki/22_Jump_Street,Action,Phil Lord,Chris Miller,Channing Tatum,Jonah Hill,Ice Cube,,,"$84,500,000.00","$331,300,000.00"
300: Rise of an Empire,2014-03-04,https://en.wikipedia.org/wiki/300:_Rise_of_an_Empire,Action,Noam Murro,,Rodrigo Santoro,Eva Green,Sullivan Stapleton,Hans Matheson,Lena Headey,"$110,000,000.00","$337,600,000.00"
42,2013-04-12,https://en.wikipedia.org/wiki/42_(film),Biography,Brian Helgeland,,Harrison Ford,Chadwick Boseman,Christopher Meloni,Ryan Merriman,Andre Holland,"$40,000,000.00","$97,500,000.00"
71,2014-02-07,https://en.wikipedia.org/wiki/%252771_(film),Action,Yann Demange,,Jack O'Connell,Richard Dormer,Sean Harris,Sam Reid,,"$8,100,000.00","$2,900,000.00"
90 Minutes in Heaven,2015-09-11,https://en.wikipedia.org/wiki/90_Minutes_in_Heaven_(film),Drama,Michael Polish,,Hayden Christensen,Kate Bosworth,Dwight Yoakam,Michael W. Smith,,"$5,000,000.00","$4,800,000.00"
A Good Day to Die Hard,2013-02-14,https://en.wikipedia.org/wiki/A_Good_Day_to_Die_Hard,Action,John Moore,,Bruce Willis,Jai Courtney,Sebastian Koch,Yuliya Snigir,Radivoje Bukvić,"$92,000,000.00","$304,700,000.00"
A Haunted House,2013-01-11,https://en.wikipedia.org/wiki/A_Haunted_House_(film),Comedy,Michael Tiddes,,Marlon Wayans,Nick Swardson,David Koechner,Essence Atkins,Cedric the Entertainer,"$2,500,000.00","$60,100,000.00"
A Haunted House 2,2014-04-18,https://en.wikipedia.org/wiki/A_Haunted_House_2,Comedy,Michael Tiddes,,Marlon Wayans,Jaime Pressly,Essence Atkins,Cedric the Entertainer,Gabriel Iglesias,"$4,000,000.00","$24,000,000.00"
A Long Way Down,2014-02-10,https://en.wikipedia.org/wiki/A_Long_Way_Down_(film),Comedy,Pascal Chaumeil,,Toni Collette,Pierce Brosnan,Aaron Paul,Imogen Poots,,"$22,700,000.00","$7,100,000.00"
A Most Violent Year,2014-11-06,https://en.wikipedia.org/wiki/A_Most_Violent_Year,Action,J. C. Chandor,,Oscar Isaac,Jessica Chastain,Alessandro Nivola,David Oyelowo,Albert Brooks,"$20,000,000.00","$12,000,000.00"
A Most Wanted Man,2014-01-19,https://en.wikipedia.org/wiki/A_Most_Wanted_Man_(film),Thriller,Anton Corbijn,,Philip Seymour Hoffman,Rachel McAdams,Robin Wright,Willem Dafoe,Grigoriy Dobrygin,"$15,000,000.00","$36,200,000.00"
A Thousand Words,2012-03-09,https://en.wikipedia.org/wiki/A_Thousand_Words_(film),Comedy,Brian Robbins,,Eddie Murphy,Kerry Washington,Cliff Curtis,Clark Duke,Allison Janney,"$40,000,000.00","$22,000,000.00"
A Walk Among the Tombstones,2014-09-19,https://en.wikipedia.org/wiki/A_Walk_Among_the_Tombstones_(film),Crime,Scott Frank,,Liam Neeson,Dan Stevens,Ruth Wilson,Boyd Holbrook,,"$28,000,000.00","$58,800,000.00"
A Walk in the Woods,2015-01-23,https://en.wikipedia.org/wiki/A_Walk_in_the_Woods_(film),Adventure,Ken Kwapis,,Robert Redford,Nick Nolte,Emma Thompson,,,"$8,000,000.00","$36,000,000.00"
Abraham Lincoln: Vampire Hunter,2012-06-22,https://en.wikipedia.org/wiki/Abraham_Lincoln:_Vampire_Hunter_(film),Horror,Timur Bekmambetov,,Benjamin Walker,Dominic Cooper,Anthony Mackie,Mary Elizabeth Winstead,Rufus Sewell,"$99,500,000.00","$116,400,000.00"
After Earth,2013-05-31,https://en.wikipedia.org/wiki/After_Earth,Sci-Fi,M. Night Shyamalan,,Jaden Smith,Will Smith,Isabelle Fuhrman,Zoe Kravitz,,"$130,000,000.00","$243,800,000.00"
Ain't Them Bodies Saints,2013-08-16,https://en.wikipedia.org/wiki/Ain%2527t_Them_Bodies_Saints,Drama,David Lowery,,Casey Affleck,Rooney Mara,Ben Foster,Rami Malek,Keith Carradine,"$4,000,000.00","$1,000,000.00"
Alex Cross,2012-10-19,https://en.wikipedia.org/wiki/Alex_Cross_(film),Crime,Rob Cohen,,Tyler Perry,Matthew Fox,Rachel Nichols,Edward Burns,Jean Reno,"$35,000,000.00","$34,600,000.00"
Aloha,2015-05-27,https://en.wikipedia.org/wiki/Aloha_(film),Romance,Cameron Crowe,,Bradley Cooper,Emma Stone,Alec Baldwin,Rachel McAdams,Bill Murray,"$52,000,000.00","$26,300,000.00"
Alvin and the Chipmunks: The Road Chip,2015-12-18,https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_The_Road_Chip,Comedy,Walt Becker,,Jason Lee,Tony Hale,Kimberly Williams-Paisley,Josh Green,Bella Thorne,"$90,000,000.00","$234,800,000.00"
American Reunion,2012-04-06,https://en.wikipedia.org/wiki/American_Reunion,Comedy,Jon Hurwitz,,Alyson Hannigan,Seann William Scott,Tara Reid,Jason Biggs,Eugene Levy,"$50,000,000.00","$235,000,000.00"
American Sniper,2014-11-11,https://en.wikipedia.org/wiki/American_Sniper,Drama,Clint Eastwood,,Bradley Cooper,Sienna Miller,Max Charles,Luke Grimes,,"$58,800,000.00","$547,400,000.00"
American Ultra,2015-08-21,https://en.wikipedia.org/wiki/American_Ultra,Action,Nima Nourizadeh,,Jesse Eisenberg,Kristen Stewart,Connie Britton,Topher Grace,John Leguizamo,"$28,000,000.00","$27,100,000.00"
Amy,2015-06-16,https://en.wikipedia.org/wiki/Amy_(2015_film),Biography,Asif Kapadia,,Amy Winehouse,Mitchell Winehouse,Janis Winehouse,Raye Cosbert,Nick Shymansky,"$3,400,000.00","$22,000,000.00"
Annabelle,2014-09-26,https://en.wikipedia.org/wiki/Annabelle_(film),Horror,John R. Leonetti,,Annabelle Wallis,Alfre Woodard,Eric Ladin,Brian Howe,,"$6,500,000.00","$256,900,000.00"
Annie,2014-12-07,https://en.wikipedia.org/wiki/Annie_(2014_film),Comedy,Will Gluck,,Quvenzhané Wallis,Jamie Foxx,Cameron Diaz,Rose Byrne,Bobby Cannavale,"$65,000,000.00","$133,800,000.00"
Ant-Man,2015-06-29,https://en.wikipedia.org/wiki/Ant-Man_(film),Action,Peyton Reed,,Paul Rudd,Evangeline Lilly,Corey Stoll,Bobby Cannavale,Michael Peña,"$130,000,000.00","$519,400,000.00"
Argo,2012-10-12,https://en.wikipedia.org/wiki/Argo_(2012_film),Drama,Ben Affleck,,Ben Affleck,John Goodman,Alan Arkin,Bryan Cranston,Victor Garber,"$44,500,000.00","$232,300,000.00"
"As Above, So Below",2014-08-29,"https://en.wikipedia.org/wiki/As_Above,_So_Below_(film)",Horror,John Erick Dowdle,,Drew Dowdle (screenplay)Perdita Weeks,Ben Feldman,Edwin Hodge,François Civil,Marion Lambert,"$5,000,000.00","$5,000,000.00"
Bad Moms,2016-07-29,https://en.wikipedia.org/wiki/Bad_Moms,Comedy,Jon Lucas,Scott Moore,Mila Kunis,Christina Applegate,Kristen Bell,Jada Pinkett Smith,Kathryn Hahn,"$20,000,000.00","$124,200,000.00"
Barbershop: The Next Cut,2016-04-15,https://en.wikipedia.org/wiki/Barbershop:_The_Next_Cut,Comedy,Malcolm D. Lee,,Ice Cube,Cedric the Entertainer,Nicki Minaj,Regina Hall,Eve,"$20,000,000.00","$55,000,000.00"
Batman v Superman: Dawn of Justice,2016-03-19,https://en.wikipedia.org/wiki/Batman_v_Superman:_Dawn_of_Justice,Action,Zack Snyder,,Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg,Diane Lane,"$250,000,000.00","$872,700,000.00"
Batman: The Killing Joke,2016-07-25,https://en.wikipedia.org/wiki/Batman:_The_Killing_Joke_(film),Action,Sam Liu,Bruce Timm,Kevin Conroy,Mark Hamill,Tara Strong,Ray Wise,,"$3,500,000.00","$4,400,000.00"
Battle of the Year,2013-09-20,https://en.wikipedia.org/wiki/Battle_of_the_Year_(film),Musical,Benson Lee,,Josh Holloway,Laz Alonso,Josh Peck,Caity Lotz,Chris Brown,"$20,000,000.00","$16,500,000.00"
Battleship,2012-05-18,https://en.wikipedia.org/wiki/Battleship_(film),Action,Peter Berg,,Alexander Skarsgård,Taylor Kitsch,Brooklyn Decker,Rihanna,Liam Neeson,"$220,000,000.00","$303,000,000.00"
Beasts of the Southern Wild,2012-06-27,https://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild,Drama,Benh Zeitlin,,Quvenzhané Wallis,Dwight Henry,,,,"$1,800,000.00","$21,900,000.00"
Beautiful Creatures,2013-02-14,https://en.wikipedia.org/wiki/Beautiful_Creatures_(2013_film),Fantasy,Richard LaGravenese,,Viola Davis,Alice Englert,Emma Thompson,Emmy Rossum,Jeremy Irons,"$60,000,000.00","$60,100,000.00"
Before I Go to Sleep,2014-09-04,https://en.wikipedia.org/wiki/Before_I_Go_to_Sleep_(film),Mystery,Rowan Joffé,,Nicole Kidman,Mark Strong,Colin Firth,Anne-Marie Duff,,"$22,000,000.00","$15,100,000.00"
Ben-Hur,2016-08-19,https://en.wikipedia.org/wiki/Ben-Hur_(2016_film),Adventure,Timur Bekmambetov,,Jack Huston,Morgan Freeman,Toby Kebbell,Rodrigo Santoro,Nazanin Boniadi,"$100,000,000.00","$41,400,000.00"
Beyond the Lights,2014-09-06,https://en.wikipedia.org/wiki/Beyond_the_Lights,Romance,Gina Prince-Bythewood,,Gugu Mbatha-Raw,Nate Parker,Minnie Driver,Danny Glover,,"$7,000,000.00","$14,600,000.00"
Big Eyes,2014-12-25,https://en.wikipedia.org/wiki/Big_Eyes,Biography,Tim Burton,,Amy Adams,Christoph Waltz,Krysten Ritter,Danny Huston,Terence Stamp,"$10,000,000.00","$29,300,000.00"
Black Mass,2015-09-04,https://en.wikipedia.org/wiki/Black_Mass_(film),Action,Scott Cooper,,Johnny Depp,Joel Edgerton,Benedict Cumberbatch,Sienna Miller,Dakota Johnson,"$53,000,000.00","$99,800,000.00"
Blackhat,2015-01-08,https://en.wikipedia.org/wiki/Blackhat_(film),Action,Michael Mann,,Chris Hemsworth,Viola Davis,John Ortiz,Yorick van Wageningen,Tang Wei,"$70,000,000.00","$19,700,000.00"
Blended,2014-05-23,https://en.wikipedia.org/wiki/Blended_(film),Comedy,Frank Coraci,,Adam Sandler,Drew Barrymore,Bella Thorne,Emma Fuhrmann,Terry Crews,"$40,000,000.00","$128,000,000.00"
Blue Jasmine,2013-07-26,https://en.wikipedia.org/wiki/Blue_Jasmine,Drama,Woody Allen,,Alec Baldwin,Cate Blanchett,Bobby Cannavale,Louis C.K.,Andrew Dice Clay,"$18,000,000.00","$97,500,000.00"
Boyhood,2014-01-19,https://en.wikipedia.org/wiki/Boyhood_(film),Drama,Richard Linklater,,Ethan Hawke,Patricia Arquette,Ellar Coltrane,,,"$4,000,000.00","$44,500,000.00"
Brick Mansions,2014-04-23,https://en.wikipedia.org/wiki/Brick_Mansions,Action,Camille Delamarre,,Paul Walker,David Belle,RZA,,,"$23,000,000.00","$69,000,000.00"
Bridge of Spies,2015-10-04,https://en.wikipedia.org/wiki/Bridge_of_Spies_(film),Drama,Steven Spielberg,,Tom Hanks,Mark Rylance,Amy Ryan,Alan Alda,Austin Stowell,"$40,000,000.00","$165,500,000.00"
Brooklyn,2015-01-26,https://en.wikipedia.org/wiki/Brooklyn_(film),Drama,John Crowley,,Saoirse Ronan,Emory Cohen,Domhnall Gleeson,Jim Broadbent,Julie Walters,"$11,000,000.00","$62,100,000.00"
Bullet to the Head,2013-02-01,https://en.wikipedia.org/wiki/Bullet_to_the_Head,Crime,Walter Hill,,Sylvester Stallone,Sung Kang,Sarah Shahi,Adewale Akinnuoye-Agbaje,Religious Slater,"$55,000,000.00","$21,900,000.00"
Burnt,2015-10-06,https://en.wikipedia.org/wiki/Burnt_(film),Comedy,John Wells,,Bradley Cooper,Jamie Dornan,Emma Thompson,Sienna Miller,Daniel Brühl,"$20,000,000.00","$36,600,000.00"
By the Sea,2015-11-05,https://en.wikipedia.org/wiki/By_the_Sea_(2015_film),Drama,Angelina Jolie,,Angelina Jolie,Brad Pitt,Mélanie Laurent,Niels Arestrup,Melvil Poupaud,"$10,000,000.00","$3,300,000.00"
Captain America: The Winter Soldier,2014-03-13,https://en.wikipedia.org/wiki/Captain_America:_The_Winter_Soldier,Action,Anthony Russo,Joe Russo,Chris Evans,Scarlett Johansson,Sebastian Stan,Anthony Mackie,Cobie Smulders,"$170,000,000.00","$714,400,000.00"
Captive,2015-09-18,https://en.wikipedia.org/wiki/Captive_(2015_film),Crime,Jerry Jameson,,David Oyelowo,Kate Mara,Michael K. Williams,Leonor Varela,Jessica Oyelowo,"$2,000,000.00","$2,800,000.00"
Carol,2015-05-17,https://en.wikipedia.org/wiki/Carol_(film),Drama,Todd Haynes,,Cate Blanchett,Rooney Mara,Sarah Paulson,Kyle Chandler,Jake Lacy,"$11,800,000.00","$40,300,000.00"
Central Intelligence,2016-06-10,https://en.wikipedia.org/wiki/Central_Intelligence,Action,Rawson Marshall Thurber,,Dwayne Johnson,Kevin Hart,Amy Ryan,Aaron Paul,,"$50,000,000.00","$212,200,000.00"
Cesar Chavez,2014-02-12,https://en.wikipedia.org/wiki/Cesar_Chavez_(film),Drama,Diego Luna,,Michael Peña,America Ferrera,Rosario Dawson,John Malkovich,,"$10,000,000.00","$6,700,000.00"
Chappie,2015-03-04,https://en.wikipedia.org/wiki/Chappie_(film),Sci-Fi,Neill Blomkamp,,Sharlto Copley,Ninja,Yolandi Visser,Dev Patel,Hugh Jackman,"$49,000,000.00","$102,100,000.00"
Chasing Mavericks,2012-10-26,https://en.wikipedia.org/wiki/Chasing_Mavericks,Biography,Curtis Hanson,Michael Apted,Gerard Butler,Jonny Weston,Elisabeth Shue,Abigail Spencer,,"$20,000,000.00","$8,300,000.00"
Chef,2014-03-07,https://en.wikipedia.org/wiki/Chef_(film),Comedy,Jon Favreau,,Jon Favreau,Sofía Vergara,Scarlett Johansson,John Leguizamo,Robert Downey,"$11,000,000.00","$46,000,000.00"
Chernobyl Diaries,2012-05-25,https://en.wikipedia.org/wiki/Chernobyl_Diaries,Horror,Bradley Parker,,Jonathan Sadowski,Devin Kelley,Jesse McCartney,Olivia Taylor Dudley,Nathan Phillips,"$1,000,000.00","$37,200,000.00"
Child 44,2015-04-17,https://en.wikipedia.org/wiki/Child_44_(film),Drama,Daniel Espinosa,,Tom Hardy,Gary Oldman,Joel Kinnaman,Noomi Rapace,Jason Clarke,"$50,000,000.00","$13,000,000.00"
Chronicle,2012-02-03,https://en.wikipedia.org/wiki/Chronicle_(film),Sci-Fi,Josh Trank,,Dane DeHaan,Michael B. Jordan,Alex Russell,Michael Kelly,,"$12,000,000.00","$126,600,000.00"
Cloud Atlas,2012-10-26,https://en.wikipedia.org/wiki/Cloud_Atlas_(film),Drama,Tom Tykwer,Andy Wachowski,Tom Hanks,Jim Sturgess,David Gyasi,Jim Broadbent,Ben Whishaw,"$128,500,000.00","$130,500,000.00"
Cloudy with a Chance of Meatballs 2,2013-09-27,https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_2,Family,Cody Cameron,Kris Pearn,Anna Faris,Bill Hader,Andy Samberg,Kristen Schaal,James Caan,"$78,000,000.00","$274,300,000.00"
Concussion,2015-12-25,https://en.wikipedia.org/wiki/Concussion_(2015_film),Drama,Peter Landesman,,Will Smith,Alec Baldwin,Gugu Mbatha-Raw,Albert Brooks,Paul Reiser,"$57,000,000.00","$50,300,000.00"
Creed,2015-11-25,https://en.wikipedia.org/wiki/Creed_(film),Drama,Ryan Coogler,,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Graham McTavish,Tony Bellew,"$40,000,000.00","$173,600,000.00"
Criminal,2016-04-15,https://en.wikipedia.org/wiki/Criminal_(2016_film),Action,Ariel Vromen,,Kevin Costner,Gary Oldman,Tommy Lee Jones,Alice Eve,Gal Gadot,"$31,500,000.00","$35,600,000.00"
Crimson Peak,2015-10-16,https://en.wikipedia.org/wiki/Crimson_Peak,Horror,Guillermo del Toro,,Mia Wasikowska,Tom Hiddleston,Charlie Hunnam,Jessica Chastain,Jim Beaver,"$55,000,000.00","$74,700,000.00"
Daddy's Home,2015-12-25,https://en.wikipedia.org/wiki/Daddy%2527s_Home_(film),Comedy,Sean Anders,John Morris,Will Ferrell,Mark Wahlberg,Linda Cardellini,,,"$69,000,000.00","$240,400,000.00"
Danny Collins,2015-03-20,https://en.wikipedia.org/wiki/Danny_Collins_(film),Comedy,Dan Fogelman,,Al Pacino,Annette Bening,Jennifer Garner,Bobby Cannavale,Christopher Plummer,"$10,000,000.00","$8,200,000.00"
Dark Shadows,2012-05-11,https://en.wikipedia.org/wiki/Dark_Shadows_(film),Comedy,Tim Burton,,Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter,Eva Green,Jackie Earle Haley,"$150,000,000.00","$245,500,000.00"
Dark Skies,2013-02-22,https://en.wikipedia.org/wiki/Dark_Skies_(film),Horror,Scott Charles Stewart,,Keri Russell,Josh Hamilton,Dakota Goyo,,,"$3,500,000.00","$26,400,000.00"
Dawn of the Planet of the Apes,2014-06-26,https://en.wikipedia.org/wiki/Dawn_of_the_Planet_of_the_Apes,Action,Matt Reeves,,Andy Serkis,Gary Oldman,Jason Clarke,Kodi Smit-McPhee,Keri Russell,"$235,000,000.00","$710,600,000.00"
Dead Man Down,2013-03-08,https://en.wikipedia.org/wiki/Dead_Man_Down,Action,Niels Arden Oplev,,Colin Farrell,Noomi Rapace,Dominic Cooper,Terrence Howard,Wade Barrett,"$30,000,000.00","$18,100,000.00"
Deadpool,2016-02-08,https://en.wikipedia.org/wiki/Deadpool_(film),Action,Tim Miller,,Ryan Reynolds,Gina Carano,T. J. Miller,Ed Skrein,Morena Baccarin,"$58,000,000.00","$782,600,000.00"
Declaration of War,2012-01-27,https://en.wikipedia.org/wiki/Declaration_of_War_(film),Romance,Valérie Donzelli,,Valérie Donzelli (director),,,,,"$1,500,000.00","$6,500,000.00"
Deliver Us from Evil,2014-07-02,https://en.wikipedia.org/wiki/Deliver_Us_from_Evil_(2014_film),Horror,Scott Derrickson,Paul Harris,Eric Bana,Édgar Ramírez,Olivia Munn,Joel McHale,,"$30,000,000.00","$87,900,000.00"
Despicable Me 2,2013-06-20,https://en.wikipedia.org/wiki/Despicable_Me_2,Comedy,Chris Renaud,Pierre Coffin,Steve Carell,Kristen Wiig,Miranda Cosgrove,Dana Gaier,Elsie Fisher,"$76,000,000.00","$970,800,000.00"
Devil's Due,2014-01-17,https://en.wikipedia.org/wiki/Devil%2527s_Due_(film),Horror,Matt Bettinelli-Olpin,Tyler Gillett,Allison Miller,Zach Gilford,Sam Anderson,Aimee Carrero,Vanessa Ray,"$7,000,000.00","$36,900,000.00"
Diary of a Wimpy Kid: Dog Days,2012-08-03,https://en.wikipedia.org/wiki/Diary_of_a_Wimpy_Kid:_Dog_Days_(film),Comedy,David Bowers,,Zachary Gordon,Robert Capron,Rachael Harris,Devon Bostick,Steve Zahn,"$22,000,000.00","$77,100,000.00"
Divergent,2014-03-18,https://en.wikipedia.org/wiki/Divergent_(film),Sci-Fi,Neil Burger,,Shailene Woodley,Kate Winslet,Theo James,Ansel Elgort,Zoë Kravitz,"$85,000,000.00","$288,900,000.00"
Django Unchained,2012-12-25,https://en.wikipedia.org/wiki/Django_Unchained,Action,Quentin Tarantino,,Christoph Waltz,Jamie Foxx,Leonardo DiCaprio,Samuel L. Jackson,Bruce Dern,"$100,000,000.00","$425,400,000.00"
Dolphin Tale 2,2014-09-12,https://en.wikipedia.org/wiki/Dolphin_Tale_2,Family,Charles Martin Smith,,Winter,Hope,Nathan Gamble,Harry Connick,Jr.,"$36,000,000.00","$57,800,000.00"
Don't Breathe,2016-08-26,https://en.wikipedia.org/wiki/Don%2527t_Breathe_(2016_film),Thriller,Fede Alvarez,,Dylan Minnette,Stephen Lang,Daniel Zovatto,,,"$9,900,000.00","$28,300,000.00"
Dr. Seuss' The Lorax,2012-03-02,https://en.wikipedia.org/wiki/The_Lorax_(film),Family,Chris Renaud,,Danny DeVito,Zac Efron,Taylor Swift,Ed Helms,Rob Riggle,"$70,000,000.00","$348,800,000.00"
Dracula Untold,2014-10-10,https://en.wikipedia.org/wiki/Dracula_Untold,Drama,Gary Shore,,Luke Evans,Sarah Gadon,William Houston,Dominic Cooper,Samantha Barks,"$70,000,000.00","$217,100,000.00"
Draft Day,2014-04-07,https://en.wikipedia.org/wiki/Draft_Day,Drama,Ivan Reitman,,Kevin Costner,Jennifer Garner,Denis Leary,Frank Langella,Tom Welling,"$25,000,000.00","$29,500,000.00"
Dragon Blade,2015-02-18,https://en.wikipedia.org/wiki/Dragon_Blade_(film),Action,Daniel Lee,,Jackie Chan,Choi Siwon,John Cusack,Adrien Brody,James Lee Guy,"$65,000,000.00","$120,000,000.00"
Dumb and Dumber To,2014-11-14,https://en.wikipedia.org/wiki/Dumb_and_Dumber_To,Comedy,Peter Farrelly,Bobby Farrelly,Jim Carrey,Jeff Daniels,Kathleen Turner,Laurie Holden,,"$50,000,000.00","$169,800,000.00"
Earth to Echo,2014-06-14,https://en.wikipedia.org/wiki/Earth_to_Echo,Sci-Fi,Dave Green,,Astro,Teo Halm,Reese Hartwig,Ella Wahlestedt,,"$13,000,000.00","$45,300,000.00"
Eddie the Eagle,2016-02-26,https://en.wikipedia.org/wiki/Eddie_the_Eagle_(film),Drama,Dexter Fletcher,,Taron Egerton,Christopher Walken,Hugh Jackman,,,"$23,000,000.00","$46,200,000.00"
Edge of Tomorrow,2014-05-28,https://en.wikipedia.org/wiki/Edge_of_Tomorrow_(film),Action,Doug Liman,,Tom Cruise,Emily Blunt,,,,"$178,000,000.00","$370,500,000.00"
Elysium,2013-08-09,https://en.wikipedia.org/wiki/Elysium_(film),Sci-Fi,Neill Blomkamp,,Matt Damon,Jodie Foster,Sharlto Copley,Wagner Moura,Alice Braga,"$115,000,000.00","$286,100,000.00"
Embrace of the Serpent,2015-05-15,https://en.wikipedia.org/wiki/Embrace_of_the_Serpent,Adventure,Ciro Guerra,,Jan Bijvoet,Nilbio Torres,Antonio Bolívar,,,"$1,400,000.00","$2,800,000.00"
