stn,date,temperature,wind_speed,precipitation
725030,2020-12-31,45.8,9.8,0.1
744860,2020-12-31,44.1,9.9,0.06
725030,2020-12-30,35.2,8.7,0
744860,2020-12-30,32.5,8.3,0
725030,2020-12-29,42.1,13.6,0
744860,2020-12-29,39.7,13.8,0
725030,2020-12-28,42.9,5.3,0
744860,2020-12-28,41.1,8.6,0
725030,2020-12-27,31.6,8,0
744860,2020-12-27,29.5,9,0
725030,2020-12-26,31.1,14.5,0.22
744860,2020-12-26,29.5,18.7,0.22
725030,2020-12-25,56.4,19.9,0.69
744860,2020-12-25,53.5,21.7,0.49
725030,2020-12-24,50.1,11.9,0
744860,2020-12-24,49.4,14.6,0
725030,2020-12-23,42.4,9.1,0
744860,2020-12-23,40.1,9.2,0
725030,2020-12-22,43,10.1,0
744860,2020-12-22,39.5,10.1,0
725030,2020-12-21,40.9,3.5,0.01
744860,2020-12-21,36.6,4.5,0.08
725030,2020-12-20,34.8,3.7,0
744860,2020-12-20,32.3,4.1,0
725030,2020-12-19,29,5.1,0
744860,2020-12-19,25.7,6.1,0
725030,2020-12-18,30.1,9.7,0.04
744860,2020-12-18,27.1,11.3,0.06
725030,2020-12-17,30.4,19.1,0.65
744860,2020-12-17,29.7,19.9,0.81
725030,2020-12-16,31.5,13.9,0
744860,2020-12-16,29.7,12.5,0
725030,2020-12-15,38.5,13.7,0.23
744860,2020-12-15,36.7,14.1,0.28
725030,2020-12-14,44.3,7.9,0
744860,2020-12-14,42.7,7.9,0
725030,2020-12-13,55.8,8.2,0
744860,2020-12-13,52.2,9.4,0
725030,2020-12-12,49.6,5.3,0
744860,2020-12-12,47.9,6.3,0
725030,2020-12-11,46.8,5.5,0
744860,2020-12-11,42.3,7,0
725030,2020-12-10,43.6,11.2,0.02
744860,2020-12-10,41.3,12.2,0.01
725030,2020-12-09,36.3,11.1,0
744860,2020-12-09,34.4,12.7,0
725030,2020-12-08,34.8,12.2,0
744860,2020-12-08,32.9,12.2,0
725030,2020-12-07,37.3,9.5,0
744860,2020-12-07,35.2,8.3,0
725030,2020-12-06,40.7,18.8,0.38
744860,2020-12-06,39,17.4,0.35
725030,2020-12-05,46.3,11.5,0.76
744860,2020-12-05,44.5,13.4,0.88
725030,2020-12-04,49.9,9.1,0
744860,2020-12-04,47.5,10.2,0
725030,2020-12-03,43.2,10.1,0
744860,2020-12-03,40.9,12.6,0
725030,2020-12-02,41.8,14.6,0
744860,2020-12-02,40.7,19.8,0
725030,2020-12-01,55.7,11.3,1.23
744860,2020-12-01,53.4,15.1,1.14
725030,2020-11-30,55.9,12.1,0
744860,2020-11-30,54.5,14.5,0
725030,2020-11-29,49,6.2,0
744860,2020-11-29,45.2,7.5,0
725030,2020-11-28,53.8,7.2,0
744860,2020-11-28,50.7,6.7,0
725030,2020-11-27,58.9,4.3,0.21
744860,2020-11-27,52.9,5.8,0.08
725030,2020-11-26,58.8,6.8,0.67
744860,2020-11-26,57,10.6,0.39
725030,2020-11-25,49.7,6.1,0
744860,2020-11-25,47.3,6.6,0
725030,2020-11-24,46.4,12.1,0.18
744860,2020-11-24,44.3,11.4,0.25
725030,2020-11-23,55.7,13.9,0.5
744860,2020-11-23,54,14.3,0.51
725030,2020-11-22,50.2,11.1,0
744860,2020-11-22,49.9,11.4,0
725030,2020-11-21,59.3,7.4,0
744860,2020-11-21,54.3,7.8,0
725030,2020-11-20,52.5,9.1,0
744860,2020-11-20,49.5,11.5,0
725030,2020-11-19,38.6,8.5,0
744860,2020-11-19,36.3,8.3,0
725030,2020-11-18,37.6,17.6,0
744860,2020-11-18,35.6,18.2,0
725030,2020-11-17,48.6,10.4,0
744860,2020-11-17,45.7,9.6,0
725030,2020-11-16,54.5,16.3,0.13
744860,2020-11-16,52.9,18.8,0.34
725030,2020-11-15,50,10,0
744860,2020-11-15,47.2,11.5,0
725030,2020-11-14,50.6,10.7,0.12
744860,2020-11-14,48.2,9.5,0.12
725030,2020-11-13,49.6,8.4,0.18
744860,2020-11-13,48.7,7.9,0.19
725030,2020-11-12,60.9,8.3,0.77
744860,2020-11-12,58.7,10.1,1.02
725030,2020-11-11,66.1,6,0
744860,2020-11-11,61.6,9,0
725030,2020-11-10,65.5,6.5,0
744860,2020-11-10,59.4,5.9,0
725030,2020-11-09,63,2.7,0
744860,2020-11-09,56.4,2.7,0
725030,2020-11-08,66.2,2.6,0
744860,2020-11-08,58.5,3.8,0
725030,2020-11-07,65.8,3.9,0
744860,2020-11-07,58.4,6.7,0
725030,2020-11-06,62.1,5.5,0
744860,2020-11-06,56.1,6.3,0
725030,2020-11-05,58.9,7.9,0
744860,2020-11-05,54.2,6.9,0
725030,2020-11-04,51,6.8,0
744860,2020-11-04,48.9,8.2,0
725030,2020-11-03,47.3,15.7,0
744860,2020-11-03,46.8,19.2,0
725030,2020-11-02,45.3,19.8,0.43
744860,2020-11-02,44.4,19.6,0.61
725030,2020-11-01,50.4,8.7,0
744860,2020-11-01,50.3,11.1,0
725030,2020-10-31,40.4,5.6,0.22
744860,2020-10-31,39.4,6.4,0.18
725030,2020-10-30,43.6,14.3,1.99
744860,2020-10-30,43.7,15.4,1.45
725030,2020-10-29,54.8,10,0.11
744860,2020-10-29,53.9,9.4,0.1
725030,2020-10-28,55.8,4.8,0.05
744860,2020-10-28,55,4.6,0.04
725030,2020-10-27,57.8,5.6,0.03
744860,2020-10-27,58.2,5,0.06
725030,2020-10-26,54.6,8.8,0.02
744860,2020-10-26,54.3,8.4,0.07
725030,2020-10-25,51.3,10.6,0
744860,2020-10-25,50.3,9.5,0
725030,2020-10-24,65.3,7.4,0
744860,2020-10-24,64,6.8,0
725030,2020-10-23,66.2,5,0
744860,2020-10-23,64.3,4.7,0.01
725030,2020-10-22,66.8,2.6,0
744860,2020-10-22,64.3,3.3,0
725030,2020-10-21,65,5.5,0
744860,2020-10-21,62.7,3.8,0.01
725030,2020-10-20,64.2,4.9,0.01
744860,2020-10-20,62,4.7,0
725030,2020-10-19,59.4,5,0
744860,2020-10-19,56.8,6.6,0
725030,2020-10-18,56.8,4.5,0.03
744860,2020-10-18,52.9,7.5,0.15
725030,2020-10-17,53.8,8.9,1.46
744860,2020-10-17,52.5,9.1,1.69
725030,2020-10-16,61,8.4,0
744860,2020-10-16,60.2,11,0
725030,2020-10-15,64.9,9.8,0
744860,2020-10-15,61.8,11.5,0
725030,2020-10-14,61.1,8.1,0.13
744860,2020-10-14,59.3,9.9,0.06
725030,2020-10-13,57.2,14.8,0.9
744860,2020-10-13,57.7,13.8,0.88
725030,2020-10-12,55.8,14.9,0.19
744860,2020-10-12,54.7,13.5,0.3
725030,2020-10-11,67.2,9.1,0
744860,2020-10-11,65.7,9.4,0
725030,2020-10-10,66,10.1,0
744860,2020-10-10,63.6,11.2,0
725030,2020-10-09,61,5.8,0
744860,2020-10-09,58.2,6.3,0
725030,2020-10-08,61.9,14,0.02
744860,2020-10-08,61.8,15.2,0
725030,2020-10-07,67.6,10.9,0
744860,2020-10-07,65.9,14.5,0
725030,2020-10-06,64.3,6.2,0
744860,2020-10-06,61.9,6.2,0.07
725030,2020-10-05,62.4,6.3,0
744860,2020-10-05,60.6,6.5,0
725030,2020-10-04,60.7,6.9,0
744860,2020-10-04,58.4,5.7,0
725030,2020-10-03,61.6,7.5,0.01
744860,2020-10-03,59.9,8.4,0.04
725030,2020-10-02,63.6,7.4,0.02
744860,2020-10-02,62.6,7.8,0
725030,2020-10-01,67.3,8.7,0.88
744860,2020-10-01,65.8,11.2,0.45
725030,2020-09-30,68.9,13.5,1.19
744860,2020-09-30,68.1,15.6,0.58
725030,2020-09-29,71.7,8.4,0.02
744860,2020-09-29,69.7,9.7,0.04
725030,2020-09-28,73.6,10.1,0.04
744860,2020-09-28,71.1,11.8,0.1
725030,2020-09-27,72.6,5.4,0
744860,2020-09-27,70.6,3.9,0
725030,2020-09-26,71,6.5,0
744860,2020-09-26,67.8,6,0
725030,2020-09-25,71.4,4.2,0
744860,2020-09-25,66.5,5.7,0
725030,2020-09-24,72.8,4.9,0
744860,2020-09-24,67.3,4.5,0
725030,2020-09-23,69.8,10.7,0
744860,2020-09-23,68.4,11.1,0
725030,2020-09-22,62.8,9,0
744860,2020-09-22,59.7,9.7,0
725030,2020-09-21,59.3,8,0
744860,2020-09-21,56,8.3,0
725030,2020-09-20,58.6,11,0
744860,2020-09-20,56.5,10.2,0
725030,2020-09-19,59.1,11.6,0
744860,2020-09-19,58.2,13.6,0
725030,2020-09-18,68.8,10.1,0
744860,2020-09-18,67.9,10.5,0.04
725030,2020-09-17,71.2,7,0
744860,2020-09-17,68.9,7.9,0
725030,2020-09-16,65.7,6.6,0
744860,2020-09-16,62.8,6.6,0
725030,2020-09-15,62.2,9.4,0
744860,2020-09-15,60.9,9.6,0
725030,2020-09-14,74.3,10.9,0
744860,2020-09-14,72.9,10.8,0
725030,2020-09-13,69.7,8.1,0
744860,2020-09-13,67,8.5,0
725030,2020-09-12,68.4,9.4,0
744860,2020-09-12,65.8,9.5,0
725030,2020-09-11,75.9,6.7,0.96
744860,2020-09-11,73.8,7.5,1.36
725030,2020-09-10,78.2,6.2,0.53
744860,2020-09-10,75.3,5.7,0
725030,2020-09-09,75.4,5.7,0
744860,2020-09-09,72.6,4.7,0
725030,2020-09-08,76,6.1,0
744860,2020-09-08,72,4.8,0
725030,2020-09-07,75.4,8.2,0
744860,2020-09-07,72,7.7,0
725030,2020-09-06,75.8,7.7,0
744860,2020-09-06,71.7,9.7,0
725030,2020-09-05,75.5,5.8,0
744860,2020-09-05,72.4,6.9,0
725030,2020-09-04,78.7,7.8,1.16
744860,2020-09-04,77.7,8.6,0.51
725030,2020-09-03,79.9,6.2,0.04
744860,2020-09-03,78,8.5,0.01
725030,2020-09-02,74.8,8,0.01
744860,2020-09-02,73.3,8.3,0.06
725030,2020-09-01,73.7,7.4,0.18
744860,2020-09-01,72.4,9.2,0.2
725030,2020-08-31,72,7,0
744860,2020-08-31,69.3,5.8,0
725030,2020-08-30,76.5,13.2,0.01
744860,2020-08-30,74.9,12.6,0.09
725030,2020-08-29,77.8,8.1,0.02
744860,2020-08-29,74.2,9.3,0.04
725030,2020-08-28,80.2,7.9,0.38
744860,2020-08-28,76.8,9.3,0.63
725030,2020-08-27,80.5,8,0.05
744860,2020-08-27,77.1,8.2,0.06
725030,2020-08-26,75.6,12.1,0.36
744860,2020-08-26,74.7,12.9,0.08
725030,2020-08-25,84.8,8.7,0
744860,2020-08-25,82.7,11.7,0
725030,2020-08-24,84.1,6.5,0
744860,2020-08-24,78.7,6.8,0
725030,2020-08-23,82,6.7,0
744860,2020-08-23,76.4,7.6,0
725030,2020-08-22,82.2,7.4,0
744860,2020-08-22,77.5,10.4,0
725030,2020-08-21,78,9,0
744860,2020-08-21,73.8,10.2,0
725030,2020-08-20,74.2,5,0.13
744860,2020-08-20,70.9,5.4,0.34
725030,2020-08-19,74,4.8,0.01
744860,2020-08-19,71.4,4.5,0.01
725030,2020-08-18,75.2,6.8,0.97
744860,2020-08-18,73.1,8.6,0.13
725030,2020-08-17,73.3,7.9,0.1
744860,2020-08-17,70.5,9.6,0.29
725030,2020-08-16,71.9,12.9,0.03
744860,2020-08-16,70.4,11.9,0
725030,2020-08-15,78.4,8.8,0
744860,2020-08-15,75.9,7.9,0
725030,2020-08-14,79.3,7.2,0.11
744860,2020-08-14,78.6,7.3,0
725030,2020-08-13,78.9,5.3,1.49
744860,2020-08-13,77.3,3.4,0.01
725030,2020-08-12,82.7,6.5,0
744860,2020-08-12,78.4,7.4,0.5
725030,2020-08-11,84.6,8.5,0
744860,2020-08-11,77.6,9,0
725030,2020-08-10,84.7,7.2,0
744860,2020-08-10,79.1,9.6,0
725030,2020-08-09,79.8,7.1,0
744860,2020-08-09,75.5,8.3,0
725030,2020-08-08,76.7,4.8,0.22
744860,2020-08-08,74.2,4.2,0.27
725030,2020-08-07,75.7,6.7,0.22
744860,2020-08-07,73.2,5.6,0.12
725030,2020-08-06,78.8,6.1,0
